company_name,cik,accession,form_type,file_date,period,file_num,industry_group,offering_amount,sold_amount,keywords_found,linkedin,website,email
"Outsquare MD, INC  (CIK 0002125208)",2125208,0002125208-26-000006,D,2026-04-20,,021-581075,Other Technology,5000000.0,110095.0,[],,https://outsquaremd.com/,info@outsquaremd.com
"ASHOC Beverage, LLC  (CIK 0001906483)",1906483,0001906483-26-000004,D,2026-04-20,,021-581127,Retailing,,10035540.0,[],,https://ashoc.com/,
"Equipmate, Inc  (CIK 0002129756)",2129756,0002129756-26-000001,D,2026-04-20,,021-581114,Computers,,66000.0,[],,https://www.equipmate.org,info@equipmate.org
Hidden Ventures LLC  (CIK 0002126103),2126103,0002126103-26-000001,D,2026-04-20,,020-37010,,75000.0,,[],https://www.linkedin.com/company/hidden-ventures,https://hddn.vc/,ben@hddn.vc
Madrona Distilling Inc  (CIK 0002121812),2121812,0002121812-26-000001,D,2026-04-20,,020-37009,,50000.0,,[],,https://madronadistillery.com/,sales@madronadistillery.com
"DEBIT MY DATA, INC.  (CIK 0002035300)",2035300,0002035300-26-000002,D,2026-04-20,,021-522475,Computers,2488000.0,2458000.0,[],https://www.linkedin.com/company/debitmydata,http://www.debitmydata.com,info@debitmydata.com
"Snazzy Beverages, Inc.  (CIK 0002065224)",2065224,0002065224-26-000003,D,2026-04-20,,020-36996,,50000.0,,[],https://www.linkedin.com/company/snazzy-beverages,https://www.snazzybeverages.com/,
Orthios Innovations LLC  (CIK 0002052134),2052134,0002052134-26-000004,D,2026-04-20,,021-581052,Other Technology,840000.0,505000.0,[],https://www.linkedin.com/company/orthios-innovations-llc,https://orthiosinnovations.com/,Radelson@orthiosinnovations.com
BCI Innovations LLC  (CIK 0002118288),2118288,0002118288-26-000001,D,2026-04-20,,021-581028,Other Technology,8500000.0,0.0,[],,https://bci-innovations.net/,will@bci-innovations.net
"Tarpon Health, Inc.  (CIK 0002130238)",2130238,0002130238-26-000002,D,2026-04-20,,021-581156,Other Health Care,2100000.0,1950000.0,[],https://www.linkedin.com/company/tarpon-health,https://www.tarponhealth.com/,info@tarpon-health.com
"Hatchcares, Inc.  (CIK 0002128213)",2128213,0002128213-26-000001,D,2026-04-20,,021-581159,Other Health Care,5000000.0,1000000.0,[],https://www.linkedin.com/company/hatchcare,https://www.hatchcare.com/,contact@hatchcare.com
"Ciphero AI Technologies, Inc.  (CIK 0002084004)",2084004,0002084004-26-000001,D,2026-04-20,,021-581096,Other Technology,3250000.0,3250000.0,[],,https://ciphero.ai/,contact@ciphero.ai
